cpu_percent,ram_percent,disk_read_Bps,disk_write_Bps,net_in_Bps,net_out_Bps
3.5,34.2,0,626688,156,114
2.0,34.2,0,614400,106,86
3.5,34.1,0,610304,800,526
3.8,34.1,0,618496,570,657
3.4,34.1,0,692224,580,368
8.2,34.1,0,552960,156,114
7.7,34.2,0,548864,367,699
6.2,34.2,0,544768,1429,1126
8.9,34.3,0,540672,0,0
6.6,34.2,0,1536000,539,192
4.2,34.2,0,1003520,625,648
5.0,34.2,0,999424,0,0
5.7,34.3,0,1007616,709,392
6.4,34.3,0,1003520,434,110
9.3,34.3,0,1765376,171,192
7.2,34.1,0,1024000,367,220
8.8,34.2,0,1003520,171,86
13.2,34.2,0,999424,499,816
6.1,34.1,0,1007616,66,0
8.0,34.1,0,1003520,985,3114
9.8,34.2,0,4321280,159250,5643
7.9,34.3,0,4665344,46495,1916
13.0,34.6,0,1003520,1229,1912
9.7,35.3,0,18182144,196,134
7.7,35.5,0,757760,196,134
7.7,35.2,0,770048,198,176
5.9,34.6,0,610304,538,306
4.1,34.3,0,757760,282,295
5.7,33.9,0,684032,342,172
3.8,34.0,0,0,460,876
2.4,33.9,0,0,743,1211
1.9,34.0,0,0,238,344
5.2,34.0,0,0,196,134
2.9,34.0,0,0,0,0
3.4,34.1,0,2691072,155,533
4.8,34.1,0,630784,351,753
9.2,34.2,0,868352,152,333
4.6,34.1,0,548864,417,459
2.6,34.1,0,0,0,0
4.0,34.1,0,94208,392,268
1.9,34.1,0,0,156,114
1.5,34.1,0,0,171,86
5.3,34.2,0,1794048,699,975
3.9,34.2,0,618496,262,275
7.0,34.2,0,548864,351,13275
9.3,34.2,0,1269760,15108,67664
2.4,34.1,0,569344,196,134
2.0,34.0,0,929792,324,294
1.3,34.1,0,548864,0,0
2.4,34.1,0,1007616,171,86
1.0,34.1,0,1007616,282,295
1.4,34.1,0,1007616,395,533
1.5,34.1,0,1007616,262,220
2.9,34.1,0,1032192,0,0
6.8,34.1,0,1110016,0,0
5.3,34.1,0,1007616,348,431
7.7,34.2,0,20951040,90,1028
6.3,34.2,0,757760,3922,7176
6.6,34.2,0,757760,182504,3144
5.8,34.2,0,688128,907,354
8.2,34.3,0,692224,739,868
6.7,34.3,0,770048,1364,1291
