cpu_percent,ram_percent,disk_read_Bps,disk_write_Bps,net_in_Bps,net_out_Bps
12.0,30.1,180224,28340224,371,547
13.0,30.1,0,847872,196,134
11.4,30.1,0,757760,156,114
22.5,30.3,61440,13717504,27907,17507
18.7,30.3,0,745472,30341,1876
10.5,30.3,0,757760,400,454
10.8,30.3,0,753664,0,0
10.6,30.3,0,782336,529,6371
11.7,30.3,0,966656,24367,1989
9.2,30.4,0,684032,171,0
7.6,30.2,0,991232,196,134
11.6,30.2,0,905216,0,8601
28.8,30.2,0,573440,66433,21393
24.0,30.1,24576,622592,54444,25298
15.1,30.1,0,618496,171,86
13.5,30.2,0,544768,4306438,46313
13.5,30.2,0,552960,282,295
13.0,30.2,0,618496,2055320,33711
13.6,30.3,0,1069056,1594916,26290
14.6,30.1,0,622592,393,1129
14.3,30.1,0,557056,86,111
14.0,30.1,0,1552384,262,220
18.1,29.9,0,1011712,1587086,23587
16.1,30.0,0,1011712,1846598,28029
14.1,30.0,0,1003520,352,535
13.3,30.0,0,1011712,501,315
16.2,29.9,0,1110016,237,469
14.8,30.0,0,1007616,66,247
14.6,30.0,0,1757184,430,0
16.9,30.0,0,1110016,2437800,36034
14.7,30.0,0,1105920,519,0
13.6,30.0,0,1011712,42,172
18.7,30.0,0,1007616,605,172
13.4,30.0,16384,1884160,1576657,23704
13.6,29.9,114688,33202176,1819202,32097
14.4,29.9,0,876544,20343,1846
18.2,29.9,0,753664,434,295
14.2,29.9,0,765952,86,106
14.2,29.9,0,823296,196,134
13.1,29.9,0,753664,1518592,23942
17.5,29.9,0,692224,197787,2651
14.8,29.9,0,1499136,196,1283
14.9,29.8,0,614400,7388,5654
14.3,29.8,0,761856,196,134
14.3,29.8,0,688128,785,707
18.2,29.9,0,823296,7696,6061
15.0,29.9,0,692224,280,230
13.9,29.9,0,1007616,66,86
13.9,29.9,0,1015808,0,0
14.3,29.9,0,1011712,196,134
13.8,29.9,0,1007616,196,134
17.9,29.9,0,1007616,630,172
14.3,29.9,0,1011712,0,106
15.7,30.0,0,1007616,86,0
13.8,30.0,0,1110016,281,220
15.7,30.0,0,1011712,503,700
14.9,30.0,0,1007616,368,295
14.7,30.0,0,1003520,0,0
15.5,30.0,0,1015808,439,347
16.7,30.0,0,1814528,0,161
16.9,29.9,0,1003520,86,0
14.2,30.0,0,1011712,18017,1419
12.5,30.0,0,1007616,246,200
14.9,30.0,0,1552384,196,134
9.8,30.0,0,987136,988,857
10.9,30.0,16384,1224704,43427,14079
8.7,30.0,81920,24739840,5117,1019
9.3,30.0,0,761856,885,442
7.3,30.0,0,618496,196,240
9.6,30.1,0,876544,1311,1072
7.6,30.2,0,761856,196,134
6.8,30.0,0,757760,0,0
7.4,30.0,0,753664,0,0
8.1,30.0,0,942080,66,367
7.7,30.0,0,765952,66,86
11.3,29.9,0,544768,392,268
8.2,30.0,0,733184,453,604
8.2,29.9,0,618496,8757,14843
7.7,29.4,0,544768,238,337
9.2,29.5,0,2666496,66,0
6.9,29.4,0,688128,0,0
7.7,29.4,0,614400,585,736
11.5,29.4,0,643072,222,200
7.2,29.4,0,1564672,635,489
7.8,29.4,0,1155072,352,248
7.1,29.4,0,1011712,101,0
7.6,29.5,0,1007616,475,86
8.2,29.5,0,1105920,140,276
7.2,29.5,0,1011712,417,828
9.0,29.5,0,1605632,587,700
9.9,29.5,0,1003520,478,603
18.2,29.9,0,1011712,0,0
14.2,29.9,0,1007616,66,86
15.2,29.9,0,1003520,0,161
14.1,29.8,0,1384448,262,517
13.6,29.8,0,1011712,282,134
14.0,29.8,0,1003520,529,767
18.3,29.8,65536,31166464,86,0
14.5,29.8,0,1085440,196,134
14.9,29.8,0,872448,86,106
14.1,29.8,0,806912,440,555
15.0,29.8,0,688128,196,970
14.6,29.8,0,753664,7801,11488
17.8,29.8,0,1011712,282,232
14.9,29.7,0,618496,719,468
14.0,29.8,0,544768,0,0
13.9,29.8,0,622592,0,0
13.1,29.8,0,618496,0,0
14.0,29.8,0,684032,206,402
11.9,29.8,0,622592,353,249
14.6,29.8,0,561152,196,4233
24.4,30.0,45056,659456,69658,50879
22.3,29.9,32768,626688,4075286,68202
13.6,30.0,0,557056,1826001,25360
15.9,30.1,0,544768,196,240
13.5,30.1,0,552960,913692,19898
13.9,30.1,0,548864,1012151,13747
13.6,30.0,0,1495040,86,0
17.6,30.0,0,1011712,196,533
13.7,30.0,0,1007616,221,86
15.2,30.0,0,1613824,0,161
15.0,30.1,0,2265088,282,134
14.1,30.1,0,1007616,156,114
12.4,30.1,0,1003520,1545348,23972
14.3,30.1,0,1011712,480,310
13.7,30.0,0,1007616,626,1251
12.1,30.1,0,1007616,1674790,25483
16.8,30.1,49152,24944640,259989,4647
13.8,30.1,0,1085440,250,249
13.4,30.1,0,753664,172,106
13.6,30.1,0,770048,540,240
13.6,30.0,0,757760,0,0
13.5,30.0,0,753664,248622,6580
12.3,30.0,0,692224,2882658,37340
11.5,30.1,0,688128,597,526
13.5,30.1,0,794624,16480,9095
13.0,30.1,0,552960,1874,527
21.6,30.1,8192,917504,42969,23739
24.9,30.2,90112,1978368,911129,34882
13.8,30.3,0,552960,3164921,30349
11.8,30.2,0,688128,0,0
9.2,30.2,0,843776,262,220
7.9,30.1,0,552960,6668,3763
26.5,30.1,57344,983040,81478,30834
23.9,30.2,32768,1335296,2180210,47959
14.1,30.3,0,1011712,86,106
12.2,30.3,0,1363968,74,74
13.6,30.3,0,2445312,86,98
12.0,30.3,0,1708032,1350686,20583
11.9,30.3,0,974848,557,767
12.0,30.2,0,970752,393,1202
11.9,30.2,0,1613824,174,0
12.7,30.2,0,974848,0,0
18.2,30.2,0,970752,0,0
13.2,30.1,0,978944,110,295
12.4,30.1,0,974848,368,134
12.7,30.1,0,974848,439,410
12.0,30.0,32768,28614656,66,247
13.9,30.0,0,757760,282,134
11.9,30.0,0,753664,157,115
12.1,30.0,0,761856,393,1156
17.7,29.8,0,696320,526,954
17.8,29.7,0,684032,328,304
12.3,29.7,0,761856,7147,6017
12.1,29.7,0,688128,680,445
12.5,29.7,0,991232,0,0
12.2,29.7,0,679936,4148,381
12.6,29.7,0,688128,87,0
12.9,29.7,0,614400,42,62
11.8,29.7,0,622592,532,383
12.9,29.7,0,548864,307,1074
17.2,29.7,0,811008,88,0
13.3,29.8,0,991232,66,5806
14.0,29.8,0,548864,1407,233
12.2,29.8,0,544768,110,134
12.4,29.8,0,626688,368,240
11.9,29.8,0,741376,282,295
11.6,29.8,0,614400,152,247
13.0,29.9,0,552960,196,134
20.2,29.9,0,1007616,11209,10539
24.0,30.2,16384,2125824,65733,20341
18.2,30.3,0,1679360,2570608,49054
11.0,30.2,0,1007616,156,114
11.2,30.2,0,1003520,306,268
10.4,30.2,0,1011712,615,580
11.0,30.2,0,1007616,153,0
11.2,30.2,0,1105920,0,0
10.7,30.2,16384,26460160,0,0
13.0,30.2,0,757760,592,1205
31.5,30.1,0,753664,25418,27152
25.0,30.3,24576,1220608,69195,23357
16.2,30.2,0,757760,2711858,30598
12.4,30.1,0,692224,556066,14320
18.6,30.1,0,692224,1783492,23473
14.2,30.2,0,757760,0,0
16.3,30.1,0,544768,392,268
13.6,30.0,0,692224,372,491
13.5,30.0,0,577536,0,0
13.9,30.0,0,684032,196,134
13.6,30.0,0,552960,86,106
11.6,30.0,0,618496,1716028,31013
19.3,30.0,0,544768,262,220
13.6,29.9,0,1122304,499,516
14.4,29.9,0,937984,392,268
13.9,30.0,0,778240,352,248
13.5,30.1,0,1011712,87,111
14.3,30.0,0,1007616,86,106
21.0,30.1,0,1347584,0,0
14.1,30.1,0,1011712,196,134
13.4,30.1,0,1007616,265,507
13.3,30.1,0,1003520,779,1481
12.6,30.1,0,1564672,172,161
13.6,30.1,0,1822720,66,86
13.9,30.1,0,1003520,0,0
13.1,30.1,0,1114112,152,196
12.5,30.0,0,1007616,459,508
12.6,30.1,0,1003520,434,295
12.5,30.0,32768,24666112,66,86
19.2,30.0,0,757760,196,134
12.6,30.0,0,753664,781488,17653
13.0,30.0,0,761856,397,1032
12.6,30.0,0,757760,606,864
14.0,30.0,0,892928,156,114
12.8,30.0,0,692224,834880,18281
12.0,30.0,0,688128,688908,16567
13.1,30.0,0,684032,87,111
12.4,30.0,0,552960,0,0
12.8,29.9,0,548864,66,86
11.6,29.9,0,565248,11876,631
13.1,29.9,0,622592,196,134
10.6,29.9,0,688128,1974121,33081
11.9,30.0,0,544768,454,426
14.9,30.0,0,638976,0,0
11.9,30.1,0,561152,0,0
13.7,30.1,0,614400,110,6623
16.4,30.1,0,856064,1098480,22336
13.9,30.1,0,548864,282,295
12.2,30.1,0,1028096,86,106
15.1,30.1,0,1015808,282,295
13.1,30.1,0,1007616,86,98
14.1,30.1,0,1003520,0,0
13.4,30.2,0,1011712,196,134
13.5,30.2,0,1007616,397,584
11.5,30.1,0,1892352,306,268
13.2,30.1,0,1011712,512,354
11.7,30.1,0,1855488,0,0
14.2,30.1,0,1003520,0,0
12.5,30.1,0,1011712,108,148
13.8,30.1,32768,22867968,110,134
12.9,30.1,0,753664,86,0
15.2,30.1,0,761856,196,134
16.4,30.1,0,618496,0,0
13.0,30.0,0,614400,16069,716
14.0,30.0,0,708608,0,0
13.6,30.0,0,618496,196,134
13.7,30.0,0,614400,540,134
13.0,30.1,0,622592,282,401
14.7,30.1,0,618496,397,1039
13.1,30.1,0,630784,196,134
13.9,30.1,0,622592,0,0
13.9,30.1,0,548864,91,115
13.1,30.1,0,614400,328,220
14.3,30.1,0,622592,374,384
12.4,30.1,0,548864,392,268
13.3,30.1,0,684032,352,248
12.2,30.2,0,552960,0,0
17.6,30.2,0,548864,0,110
14.1,30.2,0,856064,90,192
13.2,30.2,0,884736,282,134
13.8,30.3,0,548864,110,134
12.6,30.3,0,548864,86,0
13.1,30.2,0,552960,86,161
11.7,30.3,0,942080,0,0
13.5,30.2,0,1003520,86,161
12.3,30.2,0,1425408,110,134
10.5,30.2,0,1007616,282,134
7.0,30.1,0,1003520,439,571
10.0,30.2,0,2146304,782,429
10.2,30.1,49152,18812928,351,330
9.7,30.1,0,774144,0,0
8.6,30.1,0,1396736,6185,8275
11.7,30.1,0,688128,22082,14847
